gene_a	gene_b	combined_score	class_evidence_score	escore	dscore
ITGAM	ITGB1	0.905	0.9	0	0.9
ITGAM	ITGB2	0.999	0.9922836287799791	0.926	0.9
ITGAV	ITGB1	0.996	0.9433785192909281	0.457	0.9
ITGAV	ITGB2	0.949	0.9	0	0.9
ITGAV	ITGB3	0.999	0.9958289885297185	0.96	0.9
ITGAV	ITGB5	0.991	0.9433785192909281	0.457	0.9
ITGAV	PTK2	0.913	0.9136600625651721	0.586	0.8
ITGAV	TGFB1	0.988	0.9796663190823774	0.961	0.5
ITGB1	ITGB2	0.983	0.9	0	0.9
ITGB1	ITGB3	0.984	0.9192909280500522	0.226	0.9
ITGB1	ITGB5	0.952	0.9	0	0.9
ITGB1	LAMA1	0.827	0.7416058394160584	0.292	0.65
ITGB1	PRKCA	0.837	0.8018248175182483	0.457	0.65
ITGB1	PTK2	0.936	0.8867570385818561	0.457	0.8
ITGB1	TLN1	0.998	0.9433785192909281	0.457	0.9
ITGB1	TLN2	0.992	0.9	0	0.9
ITGB1	VCAM1	0.998	0.9286757038581857	0.316	0.9
ITGB1	VEGFA	0.716	0.7168925964546402	0.457	0.5
ITGB2	ITGB3	0.967	0.9	0	0.9
ITGB2	ITGB5	0.914	0.9	0	0.9
ITGB3	ITGB5	0.943	0.9	0	0.9
ITGB3	PTK2	0.933	0.8867570385818561	0.457	0.8
ITGB3	SHC1	0.961	0.9614181438998958	0.926	0.5
ITGB3	THBS1	0.777	0.7168925964546402	0.457	0.5
ITGB3	TLN1	0.991	0.8138686131386861	0.49	0.65
ITGB3	VTN	0.993	0.7199999999999999	0	0.72
ITGB5	PTK2	0.897	0.8867570385818561	0.457	0.8
ITGB5	PXN	0.819	0.8	0	0.8
ITGB5	TLN1	0.865	0.8	0	0.8
ITGB5	TLN2	0.804	0.7416058394160584	0.292	0.65
ITGB5	VTN	0.92	0.7033368091762252	0.431	0.5
ITK	LAT	0.808	0.7168925964546402	0.457	0.5
ITK	LCP2	0.998	0.9433785192909281	0.457	0.9
JAK1	JAK2	0.998	0.9433785192909281	0.457	0.9
JAK1	JAK3	0.998	0.9433785192909281	0.457	0.9
JAK1	LYN	0.8	0.8	0	0.8
JAK1	OSMR	0.98	0.9509906152241918	0.53	0.9
JAK1	PTPN11	0.841	0.7168925964546402	0.457	0.5
JAK1	SOCS1	0.995	0.9433785192909281	0.457	0.9
JAK1	SOCS3	0.998	0.9483837330552659	0.505	0.9
JAK1	STAT2	0.906	0.8	0	0.8
JAK1	STAT3	0.994	0.7168925964546402	0.457	0.5
JAK1	TYK2	0.998	0.9261730969760167	0.292	0.9
JAK2	JAK3	0.973	0.9261730969760167	0.292	0.9
JAK2	LEPR	0.989	0.9768508863399374	0.926	0.7
JAK2	LYN	0.907	0.8523461939520335	0.292	0.8
JAK2	OSMR	0.867	0.8	0	0.8
JAK2	PTPN1	0.886	0.7168925964546402	0.457	0.5
JAK2	PTPN11	0.946	0.7168925964546402	0.457	0.5
JAK2	PTPN6	0.835	0.7168925964546402	0.457	0.5
JAK2	SH2B1	0.966	0.7168925964546402	0.457	0.5
JAK2	SOCS1	0.998	0.9433785192909281	0.457	0.9
JAK2	SOCS3	0.996	0.8274244004171012	0.669	0.5
JAK2	STAT1	0.99	0.7168925964546402	0.457	0.5
JAK2	STAT3	0.992	0.7168925964546402	0.457	0.5
JAK2	STAT5A	0.988	0.7168925964546402	0.457	0.5
JAK2	STAT5B	0.983	0.7168925964546402	0.457	0.5
JAK2	SYK	0.8	0.8	0	0.8
JAK2	TYK2	0.996	0.8523461939520335	0.292	0.8
JAK2	VAV1	0.736	0.7168925964546402	0.457	0.5
JAK3	LEPR	0.77	0.7416058394160584	0.292	0.65
JAK3	OSMR	0.8	0.8	0	0.8
JAK3	STAT5A	0.923	0.7168925964546402	0.457	0.5
JUN	MAPK8	0.977	0.9490093847758082	0.511	0.9
JUN	NCOA1	0.9	0.8867570385818561	0.457	0.8
JUN	SP1	0.976	0.9433785192909281	0.457	0.9
KAT2B	MAP3K7	0.72	0.7199999999999999	0	0.72
KAT2B	NCOA1	0.985	0.8867570385818561	0.457	0.8
KAT2B	NCOA2	0.896	0.8	0	0.8
KAT2B	SUPT20H	0.958	0.9007299270072993	0.66	0.72
KCNE1B	KCNQ1	0.919	0.9	0	0.9
KDM1A	MSH2	0.9	0.9	0	0.9
KDM1A	MSH6	0.9	0.9	0	0.9
KIF5A	KIF5B	0.958	0.9573514077163713	0.591	0.9
KIT	KITLG	0.999	0.9916579770594369	0.96	0.8
KIT	LYN	0.879	0.7168925964546402	0.457	0.5
KIT	PIK3R1	0.835	0.713451511991658	0.542	0.4
KIT	PRKCA	0.9	0.9	0	0.9
KIT	PTPN6	0.716	0.7168925964546402	0.457	0.5
KIT	STAT1	0.761	0.7612095933263817	0.542	0.5
LAT	LCK	0.866	0.7168925964546402	0.457	0.5
LAT	LCP2	0.993	0.7168925964546402	0.457	0.5
LAT	PLCG2	0.764	0.764859228362878	0.549	0.5
LAT	VAV1	0.942	0.7168925964546402	0.457	0.5
LAT	ZAP70	0.981	0.7168925964546402	0.457	0.5
LCK	LCP2	0.987	0.7168925964546402	0.457	0.5
LCK	LYN	0.882	0.7359749739311784	0.578	0.4
LCK	PTPN6	0.755	0.7168925964546402	0.457	0.5
LCK	STAT3	0.906	0.7726798748696558	0.564	0.5
LCK	SYK	0.963	0.7168925964546402	0.457	0.5
LCK	TRAF2	0.902	0.9	0	0.9
LCK	TRAF6	0.902	0.9	0	0.9
LCN2	SLC22A17	0.981	0.7	0	0.7
LCP2	PLCG2	0.986	0.9	0	0.9
LCP2	VAV1	0.998	0.9433785192909281	0.457	0.9
LCP2	VAV2	0.991	0.9	0	0.9
LCP2	ZAP70	0.994	0.7168925964546402	0.457	0.5
LDB1	TAL1	0.999	0.9762252346193951	0.886	0.8
LDB1	TCF7L2	0.72	0.7199999999999999	0	0.72
LDB1	TLE1	0.9	0.9	0	0.9
LDB1	TLE3	0.9	0.9	0	0.9
LEF1	RUNX3	0.7	0.7	0	0.7
LEF1	TCF7L2	0.755	0.7395411887382691	0.457	0.54
LEF1	TLE1	0.893	0.8167674661105317	0.618	0.54
LEP	LEPR	0.995	0.7528675703858185	0.526	0.5
LEP	PRL	0.95	0.9	0	0.9
LEPR	PTPN11	0.804	0.764859228362878	0.549	0.5
